,search_course,course_organization,course_title,course_type,course_difficulty,course_link,course_students_enrolled,skill
31,Data Science,University of London,Machine Learning for All,Course,Beginner,https://www.coursera.org/learn/uol-machine-learning-for-all,110k,[]
32,Data Science,University of Colorado Boulder,Statistical Modeling for Data Science Applications,Specialization,Intermediate,https://www.coursera.org/specializations/statistical-modeling-for-data-science-applications,3.1k,"['Linear Model', 'R Programming', 'Statistical Model', 'regression', 'Calculus', 'and probability theory.', 'Linear Algebra']"
33,Data Science,Johns Hopkins University,Advanced Linear Models for Data Science 1: Least Squares,Course,Advanced,https://www.coursera.org/learn/linear-models,26k,"['Statistics', 'Linear Regression', 'R Programming', 'Linear Algebra']"
34,Data Science,University of Michigan,Python 3 Programming,Specialization,Beginner,https://www.coursera.org/specializations/python-3-programming,350k,"['Json', 'Computer Programming', 'Python Programming', 'Sorting']"
35,Data Science,"University of California, Davis",Learn SQL Basics for Data Science,Specialization,Beginner,https://www.coursera.org/specializations/learn-sql-basics-data-science,400k,"['Data Analysis', 'Apache Spark', 'Delta Lake', 'SQL', 'Data Science', 'Sqlite', 'A/B Testing', 'Query String', 'Predictive Analytics', 'Presentation Skills', 'creating metrics', 'Exploratory Data Analysis']"
36,Data Science,IBM,Tools for Data Science,Course,Beginner,https://www.coursera.org/learn/open-source-tools-for-data-science,260k,"['Data Science', 'Github', 'Python Programming', 'Jupyter notebooks', 'Rstudio']"
37,Data Science,Databricks,Data Science with Databricks for Data Analysts,Specialization,Intermediate,https://www.coursera.org/specializations/data-science-with-databricks-for-data-analysts,14k,"['Data Science', 'Data Analysis', 'Machine Learning', 'Spark SQL', 'SQL', 'Databricks']"
38,Data Science,University of Illinois at Urbana-Champaign,Data Mining,Specialization,Intermediate,https://www.coursera.org/specializations/data-mining,190k,"['Data Clustering Algorithms', 'Text Mining', 'Data Visualization (DataViz)', 'Data Mining', 'Data Visualization Software', 'Tableau Software', 'Data Virtualization', 'Information Retrieval (IR)', 'Document Retrieval', 'Machine Learning', 'Recommender Systems', 'Probabilistic Models']"
39,Data Science,University of Michigan,Introduction to Data Science in Python,Course,Intermediate,https://www.coursera.org/learn/python-data-analysis,660k,"['Python Programming', 'Numpy', 'Pandas', 'Data Cleansing']"
40,Data Science,Coursera Project Network,Build a Data Science Web App with Streamlit and Python,Guided Project,Intermediate,https://www.coursera.org/projects/data-science-streamlit-python,14k,[]
41,Data Science,"University of California, Irvine",Academic English: Writing,Specialization,Beginner,https://www.coursera.org/specializations/academic-english,810k,"['Punctuation', 'Essay Writing', 'Academic Writing', 'Writing', 'English Grammar', 'Grammar', 'Creative Writing']"
42,Data Science,Johns Hopkins University,Data Science: Foundations using R,Specialization,Beginner,https://www.coursera.org/specializations/data-science-foundations-r,1.1m,"['Data Science', 'Machine Learning', 'Github', 'R Programming', 'Exploratory Data Analysis', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
43,Data Science,Johns Hopkins University,Genomic Data Science,Specialization,Intermediate,https://www.coursera.org/specializations/genomic-data-science,120k,"['Bioinformatics', 'Statistics', 'Data Science', 'Computational Biology', 'Biopython', 'Python Programming', 'Genomics', 'Bioinformatics Algorithms', 'Algorithms', 'Algorithms On Strings', 'Samtools', 'Unix']"
44,Data Science,IBM,Applied Data Science with R,Specialization,Beginner,https://www.coursera.org/specializations/applied-data-science-r,13k,"['Shiny Dashboards', 'Data Analysis and Modelling', 'R Programmin Language', 'Data Visualization (DataViz)', 'SQL & RDBMS', 'Data Science', 'R Programming', 'Select (Sql)', 'Relational Databases (RDBMS)', 'Tables (Database)', 'Statistical Analysis', 'Data Analysis']"
45,Data Science,Johns Hopkins University,Executive Data Science,Specialization,Beginner,https://www.coursera.org/specializations/executive-data-science,230k,"['Data Science', 'Data Management', 'Data Analysis', 'Communication', 'Leadership', 'Machine Learning', 'Project', 'Team Building', 'Management', 'Team Management', 'Interpretation', 'Exploratory Data Analysis']"
46,Data Science,IBM,Databases and SQL for Data Science with Python,Course,Beginner,https://www.coursera.org/learn/sql-data-science,240k,"['Cloud Databases', 'Python Programming', 'Ipython', 'Relational Database Management System (RDBMS)', 'SQL']"
47,Data Science,IBM,Data Science Methodology,Course,Beginner,https://www.coursera.org/learn/data-science-methodology,180k,"['Data Science', 'Data Mining', 'Methodology']"
48,Data Science,IBM,Python Project for Data Science,Course,Intermediate,https://www.coursera.org/learn/python-project-for-data-science,54k,"['Data Science', 'Python Programming', 'Ipython', 'Data Analysis', 'Pandas']"
49,Data Science,University of Colorado System,Clinical Data Science,Specialization,Intermediate,https://www.coursera.org/specializations/clinical-data-science,19k,"['Implementation Science', 'Clinical Text Mining', 'R Programming', 'Computational Phenotyping', 'Data Quality Assessment']"
50,Data Science,Eindhoven University of Technology,Process Mining: Data science in Action,Course,Intermediate,https://www.coursera.org/learn/process-mining,63k,"['Petri Net', 'Process Modeling', 'Process Mining', 'Data Mining']"
51,Data Science,Google Cloud,Hands-on Foundations for Data Science and Machine Learning with Google Cloud Labs,Specialization,Intermediate,https://www.coursera.org/specializations/hands-on-data-science-machine-learning,4.7k,"['Bigquery', 'Data Analysis', 'data', 'SQL', 'Data Management', 'Data Pipelines', 'Cloud Data Fusion', 'Data ingestion', 'Data Processing', 'Data Visualization (DataViz)', 'Tensorflow', 'Machine Learning']"
52,Data Science,Universidad Nacional Autónoma de México,Introducción a Data Science: Programación Estadística con R,Course,Beginner,https://www.coursera.org/learn/intro-data-science-programacion-estadistica-r,190k,"['Graphics', 'R Programming', 'Rstudio', 'Exploratory Data Analysis']"
53,Data Science,University of London,Foundations of Data Science: K-Means Clustering in Python,Course,Beginner,https://www.coursera.org/learn/data-science-k-means-clustering-python,27k,"['K-Means Clustering', 'Machine Learning', 'Programming in Python']"
54,Data Science,University of Colorado Boulder,Probability Theory: Foundation for Data Science,Course,Intermediate,https://www.coursera.org/learn/probability-theory-foundation-for-data-science,6.9k,"['Probability', 'central limit theorem', 'continuous random variables', ""Bayes' Theorem"", 'discrete random variables']"
55,Data Science,Johns Hopkins University,Python for Genomic Data Science,Course,Mixed,https://www.coursera.org/learn/python-genomics,46k,"['Bioinformatics', 'Biopython', 'Python Programming', 'Genomics']"
56,Data Science,IBM,Fundamentals of Scalable Data Science,Course,Beginner,https://www.coursera.org/learn/ds,63k,"['Statistics', 'Data Science', 'Internet Of Things (IOT)', 'Apache Spark']"
57,Data Science,IBM,Applied Data Science Capstone,Course,Intermediate,https://www.coursera.org/learn/applied-data-science-capstone,93k,"['Data Science', 'Methodology', 'Github', 'Jupyter Notebook', 'K-Means Clustering']"
58,Data Science,"University of California, Irvine",Data Science Fundamentals,Specialization,Beginner,https://www.coursera.org/specializations/data-science-fundamentals,5.4k,"['Environmental Data Analysis', 'Data Documentation', 'Geophysical Data', 'Data Mining']"
59,Data Science,University of Colorado Boulder,Vital Skills for Data Science,Specialization,Intermediate,https://www.coursera.org/specializations/vital-skills-for-data-science,3.4k,"['Information Privacy', 'Cybersecurity', 'analysis', 'Ethics', 'Data Science', 'Applied Mathematics', 'Information Science', 'Statistics', 'Computer Science', 'Algorithms', 'Privacy', 'Philosophy']"
